AT2G42240;AT1G01720
AT2G42280;AT1G15670
AT2G42120;AT1G18300
AT2G42130;AT1G19230
AT2G42220;AT1G21550
AT2G42110;AT1G30700
AT2G42210;AT1G67360
AT2G32950;AT1G70140
AT2G32870///AT2G32880;AT1G70420
AT2G32860;AT1G70800
AT2G32990;AT1G71530
AT2G33050///AT2G33060;AT1G72540
AT2G32850;AT1G73010
AT2G32900;AT1G78830
AT2G26740///AT2G26750;AT1G80440
AT2G26770;AT2G15310
AT2G26780;AT2G16890
AT2G26650;AT2G16900
AT2G26690;AT2G33280
AT2G26710;AT2G33580
AT2G26670;AT2G35980
AT2G26760;AT2G44130
AT2G39650;AT2G47530
AT2G39660;AT2G47950
AT2G39700;AT3G04300
AT2G39705;AT3G04640
AT2G39670;AT3G11720
AT2G30740;AT3G13310
AT2G30790;AT3G20830
AT2G30800;AT3G25610
AT2G30695;AT3G27880
AT2G41950;AT3G48100
AT2G41890;AT3G49780
AT2G42040;AT3G59940
AT2G42070;AT3G62990
AT2G41900;AT4G15248
AT2G41940;AT4G22070
AT2G42010;AT4G25480
AT2G42030;AT4G27410
AT2G32730;AT4G28110
AT2G32690;AT4G35200
AT2G32640;AT4G35210
AT2G32800;AT4G37780
AT2G32180///AT2G32650;AT5G03210
AT2G32710;AT5G18150
AT2G45590;AT5G24660
AT2G45490;AT5G27420
AT2G45720;AT5G48540
AT2G45540;AT5G54630
AT2G45520;AT5G56630
AT2G45700;AT5G58680
AT2G45640;AT5G59570
AT2G45690;AT1G01010
AT2G45620;AT1G02520
AT2G45680;AT1G04240
AT2G30520;AT1G05100
AT2G30520;AT1G09350
AT2G30500;AT1G10140
AT2G30470;AT1G12740
AT2G30460;AT1G13245
AT2G30600;AT1G14540
AT2G30570;AT1G14550
AT2G30620;AT1G15050
AT2G30550;AT1G15580
AT2G30540;AT1G16150
AT2G30530;AT1G16160
AT2G30590;AT1G17180
AT2G30490;AT1G17830
AT2G30390;AT1G18200
AT2G02850;AT1G18400
AT2G02710;AT1G18710
AT2G02780;AT1G21390
AT2G02810;AT1G26945
AT2G02760;AT1G29420
AT2G02820;AT1G29430
AT2G02800;AT1G29440
AT2G19120///AT4G30100;AT1G29450
AT2G19170;AT1G29460
AT2G19180;AT1G29500
AT2G33680;AT1G29510
AT1G28350///AT2G33840;AT1G30190
AT2G33700;AT1G30730
AT2G33730;AT1G32170
AT2G33845;AT1G49450
AT2G33800;AT1G50590
AT2G33740;AT1G50740
AT2G34780;AT1G51090
AT2G34920;AT1G53163
AT2G34930;AT1G58340
AT2G34970;AT1G59590
AT2G35010;AT1G60050
AT2G35030;AT1G60190
AT2G35040;AT1G60750
AT2G34840;AT1G62570
AT2G34860;AT1G63840
AT2G26260;AT1G64380
AT2G26240;AT1G64930
AT2G26210;AT1G65510
AT2G26180;AT1G65690
AT2G26280;AT1G66110
AT2G26230;AT1G66830
AT2G26300;AT1G67270
AT2G26330;AT1G67600
AT2G26250;AT1G67900
AT2G26200;AT1G68360
AT2G26340;AT1G68620
AT2G26170;AT1G70170
AT2G44300;AT1G70530
AT2G44440;AT1G75000
AT2G44460;AT1G75450
AT2G44490;AT1G76680
AT2G44500;AT1G78070
AT2G44270;AT1G78100
AT1G76170;AT1G78600
AT2G44210;AT1G80450
AT2G44420;AT2G01200
AT2G44510;AT2G01300
AT2G44200;AT2G01430
AT2G44230;AT2G05940
AT2G39950;AT2G07747
AT2G40030;AT2G11810
AT2G40030;AT2G15480
AT2G40070;AT2G15490
AT2G39880;AT2G16895
AT2G39900;AT2G18010
AT2G40020;AT2G18150
AT2G40080;AT2G19810
AT2G39980;AT2G20080
AT2G39990;AT2G20670
AT2G39870;AT2G21650
AT2G34690;AT2G22810
AT2G34680;AT2G23060
AT2G34750;AT2G23170
AT2G34730;AT2G28210
AT2G34720;AT2G29470
AT2G34710;AT2G29480
AT2G34770;AT2G29490
AT2G19340;AT2G30540
AT2G19380;AT2G31860
AT2G19270;AT2G32510
AT2G19430;AT2G32990
AT1G64760///AT2G19440;AT2G33310
AT2G19310;AT2G34650
AT2G19385;AT2G36220
AT2G19460;AT2G37710
AT2G19450;AT2G38823
AT2G19390;AT2G39350
AT2G23700;AT2G39370
AT2G23740;AT2G41510
AT2G23740;AT2G42430
AT2G23810;AT2G45130
AT2G23670;AT2G45420
AT2G23780;AT2G46495
AT2G23760;AT2G47260
AT2G30140;AT3G02000
AT2G30100;AT3G02040
AT2G30070;AT3G02170
AT2G30060;AT3G03820
AT2G30200;AT3G03830
AT2G30160;AT3G03840
AT2G30050;AT3G03850
AT2G30250;AT3G05630
AT2G30170;AT3G09280
AT2G23070;AT3G09400
AT2G23000///AT2G23010;AT3G10815
AT2G23080;AT3G11260
AT2G23130;AT3G14362
AT2G22990;AT3G14440
AT2G22970;AT3G15250
AT2G23150;AT3G15540
AT2G02570;AT3G17790
AT2G02560;AT3G18773
AT2G02510;AT3G19200
AT2G02590;AT3G21330
AT2G02500;AT3G22100
AT2G02480;AT3G22830
AT2G43980;AT3G23030
AT2G44070///AT5G38640;AT3G23635
AT2G44080;AT3G24310
AT2G44190;AT3G25240
AT2G43910///AT2G43920;AT3G25250
AT2G44130;AT3G26170
AT2G44065;AT3G26760
AT2G44120;AT3G28420
AT2G43970;AT3G28857
AT2G44020;AT3G29370
AT2G44150;AT3G42800
AT2G44160///AT3G59970;AT3G43110
AT2G44050///AT3G04180;AT3G45960
AT2G44180;AT3G49700
AT2G30910///AT2G31300;AT3G50260
AT2G30950;AT3G50970
AT2G30990;AT3G51410
AT2G30930;AT3G55090
AT2G30920;AT3G55840
AT2G31040;AT3G56275
AT2G30860;AT3G58190
AT2G30870;AT3G59480
AT2G37630;AT3G62100
AT2G37640;AT3G63440
AT2G05140///AT2G37690;AT4G01110
AT2G37710;AT4G01250
AT2G37660;AT4G01460
AT2G37560;AT4G03140
AT2G37600;AT4G08040
AT2G37620///AT3G53750;AT4G13180
AT2G37750;AT4G13395
AT2G23360;AT4G14368
AT2G23540;AT4G14560
AT2G23590///AT2G23600;AT4G14630
AT2G23610;AT4G14819
AT2G23620;AT4G16000
AT2G23390;AT4G16515
